type,value,description,source,confidence,mitre_technique,action_required
Email,anmarma100@gmail.com,Phishing sender - impersonating Elena Vasquez IT Security Compliance Lead,phishing_email_BLUEDELTA_*.txt,HIGH,T1566.001,BLOCK
Email,anmar@nulltack.com,Phishing sender display address - impersonating IT Security,phishing_email_BLUEDELTA_*.txt,HIGH,T1566.001,BLOCK
Email,adhamalhamidi00@gmail.com,Attacker mailbox - credential payload recipient confirmed by SMTP 250 OK,exfiltration_report_BLUEDELTA,HIGH,T1041,BLOCK
Domain,nulltack.com,Phishing sender domain - spoofed IT Security display name,phishing_email_BLUEDELTA_*.txt,HIGH,T1566.001,BLOCK
Hostname,smtp.gmail.com,C2 exfiltration channel - TLS SNI confirmed in Wireshark frames 106 and 137,Wireshark PCAP - TLS SNI filter,HIGH,T1041,MONITOR
Hostname,DESKTOP-N56M5HA,Victim workstation - Windows 10 10.0.19045 AMD64,All evidence sources,HIGH,,INVESTIGATE
Hostname,lcfrai-in-f108.1e100.net,Gmail SMTP PTR record - primary exfiltration server,Sysmon EID 3,HIGH,T1041,MONITOR
Hostname,lcfrai-in-f109.1e100.net,Gmail SMTP PTR record - secondary exfiltration server,Sysmon EID 3,HIGH,T1041,MONITOR
IP,142.251.127.108,Gmail SMTP exfiltration server primary - confirmed destination,Sysmon EID 3 / Wireshark PCAP,HIGH,T1041,NULL_ROUTE
IP,142.251.127.109,Gmail SMTP exfiltration server secondary - confirmed destination,Sysmon EID 3 / Wireshark PCAP,HIGH,T1041,NULL_ROUTE
IP,192.168.88.135,Victim workstation DESKTOP-N56M5HA - attacker source IP,All evidence sources,HIGH,,INVESTIGATE
Port,TCP/587,SMTP STARTTLS exfiltration channel - block from workstation VLANs,Sysmon EID 3 / Wireshark,HIGH,T1041,BLOCK_OUTBOUND
Port,TCP/465,SMTPS alternative exfiltration port - preventive block,Detection rule - preventive,MEDIUM,T1041,BLOCK_OUTBOUND
Process,python.exe,NulltackKatz.py executor - PIDs 2156/7824/2112 observed,Sysmon EID 1/3 / Volatility pslist,HIGH,T1204.002,ALERT
Process,mimikatz.exe,Credential dumping binary - PID 1384 confirmed in RAM at 19:00:41 UTC,Sysmon EID 1/10 / Volatility psscan,HIGH,T1003.001,ALERT
Process,powershell.exe,Attacker execution environment - PID 2216 parent of mimikatz,Sysmon EID 1 / Volatility,HIGH,T1134,INVESTIGATE
Process,DumpIt.exe,RAM acquisition tool - PID 6444 at 19:00:55 UTC,Volatility pslist,HIGH,,MONITOR
File,NulltackKatz.py,APT28 emulation payload - executed from C:\NulltackLab\,Sysmon EID 1 / exfiltration_report,HIGH,T1204.002,REMOVE
